"StockID","Title","Make","Model","Category","Image","Specification","Location","Country","Del","Myear","Videos"
"1271","Jones Shipman Make Universal Cylindrical Grinder Machine","Jones Shipman"," 1314","Grinder Cylindrical Universal","6","Capacity 8`` X 24`` (203mm X 610mm)
Swing 8`` (203mm)
Between Centres 24`` (610mm) 
Table Swivels 7-0-7 Degrees
Table Traverse Speed 3``-144`` (76-3658mm) 
Work Head Input 380/420/3/50 Ac 0.33 Hp
Work Head Speeds 30-415 Rpm
Work Head Swivels 10-0-90 Degrees
Wheel Head Input 380/420/3/50 Ac 1 Hp
Nominal Stone Size 8`` (203mm) Diameter X 3/4`` (19mm) Face
Internal Grinding Attachment Yes
Wheel Head Infeed Rate 0.0002``-0.0012`` (0.01-0.03mm) 
Fitted With Wheel Dresser
Length 7' (2.13m) 
Width 5' (1.52m) 
Height 5'10`` (1.78m) 
Nett Weight Approx. 2 Tons (2032 Kgs)","Navi Mumbai","UK","n"," ","https://youtu.be/8sBA_WxNd2k"
"1955","Schiess Froreip Vertical Turret Lathe (VTL)","Schiess Froreip","4500","VTL",NULL,"Chuck Size : 4000mm
Swing : 4500mm
Height : 1600mm","Rabale, Navi Mumbai","Germany",NULL,,
"2001","NICCO Make Surface Grinder","NICCO","NSG-6HD","Grinder Surface",NULL,"Electro Magnet Size : 600mm x 300mm
X Travel : 680mm
Y Travel : 330mm
Z Travel : 330mm
Wheel Size : 305mm x 19-32mm  x 76.2mm
with Dust collector, Coolant Tank.","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/TMK1XLIrmzg"
"1998","TOS Make Horizontal Boring Machine","TOS","W 75","Boring",NULL,"Spindle size: 75 mm
Spindle speeds: 18-1800 rpm
Spindle taper: MT4 
X-Axis: 1250 mm  
Y-Axis: 900 mm  
Z-Axis: 950 mm  
W-Axis: 560 mm
Table size: 950x950 mm
Max. table load: 3000 kg","Rabale, Navi Mumbai","Czech Republic",NULL,"1985",
"1340","Reishauer Make Model UL-900 Thread Grinding Machine","Reishauer","UL-900","Thread Grinder","6","Grinding length... 900 mm<br>Workpiece clamping length... 1190 mm<br>Workpiece diameter range... 10 - 250 mm","Navi Mumbai","Switzerland","n",,"https://youtu.be/L8az7SZNKiU"
"1345","WMW Make Model UPW12,5X70 Thread Rolling Machine H","WMW","UPW12,5X70","Thread Rolling",NULL,"Max. Rolling Force - 12.5 Tons
Job Diameter Range - 3 mm to 70 mm
Max. Thread Length - 8000 mm
Max. Thread Length (in Plunge Method) - 125 mm
Maximum Pitch - 4 mm
Thread Roll Size - Width 125 mm x 195 mm Diameter
Spindle Speeds - 20 rpm to 90 rpm","Navi Mumbai","Germany","n"," ",
"1418","WMW Make Model UPW 12,5x70 Thread Rolling Machine M1","WMW ","UPW12,5X70 ","Thread Rolling ",NULL,"Max. Rolling Force - 12.5 Tons
Job Diameter Range - 3 mm to 70 mm
Max. Thread Length - 8000 mm
Max. Thread Length (in Plunge Method) - 125 mm
Maximum Pitch - 4 mm
Thread Roll Size - Width 125 mm x 195 mm Diameter
Spindle Speeds - 20 rpm to 90 rpm","Navi Mumbai","Germany","n"," ",
"1419","WMW Make Model UPW 12,5x70 Thread Rolling Machine  M2","WMW ","UPW12,5X70 ","Thread Rolling ",NULL,"Pressure:12,5 t
Max. work piece diameter:70 mm
Threading length:125 / 2000 mm","Navi Mumbai","Germany","n"," ",
"1771","Brown & Sharp Mechnical Surface Grinder","Brown & Sharp","18x6","Grinder Surface",NULL,"Capacity : 450mm x150mm","Rabale, Navi Mumbai","USA",NULL,,
"1446","Churchill Make Model NB Surface Grinder Machine","Churchill","NB","Grinder Surface",NULL,"Magnet Size: 450mm X 150mm","Navi Mumbai","USA","n"," ","https://youtu.be/bqul5JJsmgs"
"1893","Wickman Make Hydraulic Surface Grinder","Wickman","450x150","Grinder Surface",NULL,"Capacity : 450mm x 150mm","Rabale, Navi Mumbai","UK",NULL,,
"1894","WMW Make Gear Hobbing Machine","WMW","ZFWZ 250x2.5","Gear Hobbing",NULL,"Max. Wheel Diameter: 250 mm
Gear width: 125 mm
Max. module: 2,5
Min. module: 0,5
Table bore diameter: MK3
Table diameter: 180 mm
Power capacity: 1,5 kW
Dist. cutter spindle - work-piece spindle: 11-160 mm
Turning speed range: 110-220 U/min
Max. milling cutter diameter: 80 mm
Total power requirement: 3 kW
Dimensions:2000x1500x1700 mm
Weight:950 kg","Rabale, Navi Mumbai","Germany",NULL,,
